final_table_role,final_table_rank,song_id,title,artist,cluster_id,cluster_name,candidate_type,region_role,final_main_candidate,main_text_eligible,external_evidence_status,region_typicality,region_confidence,region_margin,tension_label,tension_name,tension_typicality,tension_strength_percentile,top_descriptor_raw_score,top_descriptor_display_weight,top_descriptors_json,english_interpretation,chinese_interpretation
region_candidate,1,MT0010468178,My Sweet Prince,Placebo,0,Subdued Melancholy,region_prototype,prototype,True,True,not_checked,1.0,0.8734305329597033,2.102910573949913,C0-T0,modality-consistent,0.4460641399416909,0.3983739837398374,0.873431,1.0,"[{""descriptor"": ""introspective"", ""raw_descriptor_score"": 0.873431, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""low arousal"", ""raw_descriptor_score"": 0.873431, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""melancholic"", ""raw_descriptor_score"": 0.873431, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""somber"", ""raw_descriptor_score"": 0.873431, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""subdued melancholy"", ""raw_descriptor_score"": 0.873431, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""affective concordance"", ""raw_descriptor_score"": 0.109769, ""display_descriptor_weight"": 0.125675, ""weight"": 0.125675}, {""descriptor"": ""audio-lyric agreement"", ""raw_descriptor_score"": 0.109769, ""display_descriptor_weight"": 0.125675, ""weight"": 0.125675}]","The song is assigned to Subdued Melancholy and is highly prototypical, with region typicality 100.0% and assigned-region soft confidence 87.3%; it is clearly separated from the nearest alternative region, C1 Gentle Warmth (region margin=2.103). The calibrated cross-modal tension / audio-lyric contrast profile is C0-T0 / modality-consistent, with tension strength percentile 39.8%; the sample is modality-consistent and directional deltas do not pass the gate, so it is interpreted as broad audio-lyric agreement. The top descriptor profile is: introspective, low arousal, melancholic, somber, subdued melancholy.",该歌曲属于 Subdued Melancholy 区域，是高度原型样本；region typicality 为 100.0%，其 balanced VA 位置相对该区域原型的 soft confidence 为 87.3%。该样本与最近替代区域 C1 Gentle Warmth 明显分离（region margin=2.103）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C0-T0 / modality-consistent，tension strength percentile 为 39.8%；该样本标记为 modality-consistent，方向差未达到门控阈值，因此解释为音频与歌词基本一致。综合 descriptor profile 的高权重词包括：introspective、low arousal、melancholic、somber、subdued melancholy。
region_candidate,2,MT0009769814,Tortoise Regrets Hare,James Yorkston,0,Subdued Melancholy,region_prototype,prototype,True,True,not_checked,0.9983739837398374,0.8675935835580205,2.0199812077696175,C0-T1,lyric-brightened + lyric-intensified + high cross-modal tension,0.2757352941176471,0.6650406504065041,0.866183,1.0,"[{""descriptor"": ""introspective"", ""raw_descriptor_score"": 0.866183, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""low arousal"", ""raw_descriptor_score"": 0.866183, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""melancholic"", ""raw_descriptor_score"": 0.866183, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""somber"", ""raw_descriptor_score"": 0.866183, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""subdued melancholy"", ""raw_descriptor_score"": 0.866183, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyric arousal intensification"", ""raw_descriptor_score"": 0.30062, ""display_descriptor_weight"": 0.347063, ""weight"": 0.347063}, {""descriptor"": ""lyrics intensify the affect"", ""raw_descriptor_score"": 0.30062, ""display_descriptor_weight"": 0.347063, ""weight"": 0.347063}, {""descriptor"": ""lyric valence uplift"", ""raw_descriptor_score"": 0.134556, ""display_descriptor_weight"": 0.155344, ""weight"": 0.155344}]","The song is assigned to Subdued Melancholy and is highly prototypical, with region typicality 99.8% and assigned-region soft confidence 86.8%; it is clearly separated from the nearest alternative region, C1 Gentle Warmth (region margin=2.020). The calibrated cross-modal tension / audio-lyric contrast profile is C0-T1 / lyric-brightened + lyric-intensified + high cross-modal tension, with tension strength percentile 66.5%; the lyrics are brighter or more positive than the audio; the lyrics are more activating. The top descriptor profile is: introspective, low arousal, melancholic, somber, subdued melancholy.",该歌曲属于 Subdued Melancholy 区域，是高度原型样本；region typicality 为 99.8%，其 balanced VA 位置相对该区域原型的 soft confidence 为 86.8%。该样本与最近替代区域 C1 Gentle Warmth 明显分离（region margin=2.020）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C0-T1 / lyric-brightened + lyric-intensified + high cross-modal tension，tension strength percentile 为 66.5%；歌词侧相对音频侧更明亮/更正向；歌词侧更激活。综合 descriptor profile 的高权重词包括：introspective、low arousal、melancholic、somber、subdued melancholy。
region_candidate,3,MT0004485367,Create Me,Neil Diamond,0,Subdued Melancholy,region_prototype,prototype,True,True,not_checked,0.9967479674796748,0.8728631169528771,2.03482573916856,C0-T0,modality-consistent,0.6967930029154519,0.35772357723577236,0.870025,1.0,"[{""descriptor"": ""introspective"", ""raw_descriptor_score"": 0.870025, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""low arousal"", ""raw_descriptor_score"": 0.870025, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""melancholic"", ""raw_descriptor_score"": 0.870025, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""somber"", ""raw_descriptor_score"": 0.870025, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""subdued melancholy"", ""raw_descriptor_score"": 0.870025, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""affective concordance"", ""raw_descriptor_score"": 0.161792, ""display_descriptor_weight"": 0.185963, ""weight"": 0.185963}, {""descriptor"": ""audio-lyric agreement"", ""raw_descriptor_score"": 0.161792, ""display_descriptor_weight"": 0.185963, ""weight"": 0.185963}]","The song is assigned to Subdued Melancholy and is highly prototypical, with region typicality 99.7% and assigned-region soft confidence 87.3%; it is clearly separated from the nearest alternative region, C1 Gentle Warmth (region margin=2.035). The calibrated cross-modal tension / audio-lyric contrast profile is C0-T0 / modality-consistent, with tension strength percentile 35.8%; the sample is modality-consistent and directional deltas do not pass the gate, so it is interpreted as broad audio-lyric agreement. The top descriptor profile is: introspective, low arousal, melancholic, somber, subdued melancholy.",该歌曲属于 Subdued Melancholy 区域，是高度原型样本；region typicality 为 99.7%，其 balanced VA 位置相对该区域原型的 soft confidence 为 87.3%。该样本与最近替代区域 C1 Gentle Warmth 明显分离（region margin=2.035）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C0-T0 / modality-consistent，tension strength percentile 为 35.8%；该样本标记为 modality-consistent，方向差未达到门控阈值，因此解释为音频与歌词基本一致。综合 descriptor profile 的高权重词包括：introspective、low arousal、melancholic、somber、subdued melancholy。
tension_case,1,MT0003504525,Ain't No Santa,Trick Daddy,0,Subdued Melancholy,tension_case,peripheral,True,True,not_checked,0.04390243902439028,0.6192211820711817,0.24378524066303653,C0-T1,lyric-brightened + lyric-intensified + high cross-modal tension,0.5,0.9447154471544715,0.464174,1.0,"[{""descriptor"": ""audio-lyric contrast"", ""raw_descriptor_score"": 0.464174, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""high cross-modal tension"", ""raw_descriptor_score"": 0.464174, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyric arousal intensification"", ""raw_descriptor_score"": 0.464174, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyric valence uplift"", ""raw_descriptor_score"": 0.464174, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyrics brighten the affect"", ""raw_descriptor_score"": 0.464174, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyrics intensify the affect"", ""raw_descriptor_score"": 0.464174, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""introspective"", ""raw_descriptor_score"": 0.154805, ""display_descriptor_weight"": 0.333507, ""weight"": 0.333507}, {""descriptor"": ""low arousal"", ""raw_descriptor_score"": 0.154805, ""display_descriptor_weight"": 0.333507, ""weight"": 0.333507}]","The song is assigned to Subdued Melancholy and is peripheral within the assigned region, with region typicality 4.4% and assigned-region soft confidence 61.9%; it is boundary-adjacent to C2 Volatile Intensity (region margin=0.244). The calibrated cross-modal tension / audio-lyric contrast profile is C0-T1 / lyric-brightened + lyric-intensified + high cross-modal tension, with tension strength percentile 94.5%; the lyrics are brighter or more positive than the audio; the lyrics are more activating. The top descriptor profile is: audio-lyric contrast, high cross-modal tension, lyric arousal intensification, lyric valence uplift, lyrics brighten the affect.",该歌曲属于 Subdued Melancholy 区域，是所属区域内的外围样本；region typicality 为 4.4%，其 balanced VA 位置相对该区域原型的 soft confidence 为 61.9%。该样本靠近 C2 Volatile Intensity 的边界，适合作为边界邻近样本讨论（region margin=0.244）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C0-T1 / lyric-brightened + lyric-intensified + high cross-modal tension，tension strength percentile 为 94.5%；歌词侧相对音频侧更明亮/更正向；歌词侧更激活。综合 descriptor profile 的高权重词包括：audio-lyric contrast、high cross-modal tension、lyric arousal intensification、lyric valence uplift、lyrics brighten the affect。
tension_case,2,MT0002986568,When Things Go Wrong,Robin Lane & The Chartbusters,0,Subdued Melancholy,tension_case,prototype,True,True,not_checked,0.9804878048780488,0.8636759509538758,1.9841341868521298,C0-T1,lyric-brightened + lyric-intensified + high cross-modal tension,0.625,0.926829268292683,0.846824,1.0,"[{""descriptor"": ""introspective"", ""raw_descriptor_score"": 0.846824, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""low arousal"", ""raw_descriptor_score"": 0.846824, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""melancholic"", ""raw_descriptor_score"": 0.846824, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""somber"", ""raw_descriptor_score"": 0.846824, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""subdued melancholy"", ""raw_descriptor_score"": 0.846824, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""audio-lyric contrast"", ""raw_descriptor_score"": 0.562693, ""display_descriptor_weight"": 0.664475, ""weight"": 0.664475}, {""descriptor"": ""high cross-modal tension"", ""raw_descriptor_score"": 0.562693, ""display_descriptor_weight"": 0.664475, ""weight"": 0.664475}, {""descriptor"": ""lyric arousal intensification"", ""raw_descriptor_score"": 0.562693, ""display_descriptor_weight"": 0.664475, ""weight"": 0.664475}]","The song is assigned to Subdued Melancholy and is highly prototypical, with region typicality 98.0% and assigned-region soft confidence 86.4%; it is clearly separated from the nearest alternative region, C1 Gentle Warmth (region margin=1.984). The calibrated cross-modal tension / audio-lyric contrast profile is C0-T1 / lyric-brightened + lyric-intensified + high cross-modal tension, with tension strength percentile 92.7%; the lyrics are brighter or more positive than the audio; the lyrics are more activating. The top descriptor profile is: introspective, low arousal, melancholic, somber, subdued melancholy.",该歌曲属于 Subdued Melancholy 区域，是高度原型样本；region typicality 为 98.0%，其 balanced VA 位置相对该区域原型的 soft confidence 为 86.4%。该样本与最近替代区域 C1 Gentle Warmth 明显分离（region margin=1.984）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C0-T1 / lyric-brightened + lyric-intensified + high cross-modal tension，tension strength percentile 为 92.7%；歌词侧相对音频侧更明亮/更正向；歌词侧更激活。综合 descriptor profile 的高权重词包括：introspective、low arousal、melancholic、somber、subdued melancholy。
region_candidate,1,MT0030499533,Lately,Tyrese,1,Gentle Warmth,tension_case,prototype,True,True,not_checked,1.0,0.930661338895295,2.385710319088118,C1-T1,lyric-brightened + lyric-intensified,0.8548387096774194,0.887905604719764,0.930661,1.0,"[{""descriptor"": ""calm-positive"", ""raw_descriptor_score"": 0.930661, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""gentle warmth"", ""raw_descriptor_score"": 0.930661, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""romantic"", ""raw_descriptor_score"": 0.930661, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""soft"", ""raw_descriptor_score"": 0.930661, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""warm"", ""raw_descriptor_score"": 0.930661, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""audio-lyric contrast"", ""raw_descriptor_score"": 0.713618, ""display_descriptor_weight"": 0.766786, ""weight"": 0.766786}, {""descriptor"": ""high cross-modal tension"", ""raw_descriptor_score"": 0.713618, ""display_descriptor_weight"": 0.766786, ""weight"": 0.766786}, {""descriptor"": ""lyric arousal intensification"", ""raw_descriptor_score"": 0.713618, ""display_descriptor_weight"": 0.766786, ""weight"": 0.766786}]","The song is assigned to Gentle Warmth and is highly prototypical, with region typicality 100.0% and assigned-region soft confidence 93.1%; it is clearly separated from the nearest alternative region, C0 Subdued Melancholy (region margin=2.386). The calibrated cross-modal tension / audio-lyric contrast profile is C1-T1 / lyric-brightened + lyric-intensified, with tension strength percentile 88.8%; the lyrics are brighter or more positive than the audio; the lyrics are more activating. The top descriptor profile is: calm-positive, gentle warmth, romantic, soft, warm.",该歌曲属于 Gentle Warmth 区域，是高度原型样本；region typicality 为 100.0%，其 balanced VA 位置相对该区域原型的 soft confidence 为 93.1%。该样本与最近替代区域 C0 Subdued Melancholy 明显分离（region margin=2.386）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C1-T1 / lyric-brightened + lyric-intensified，tension strength percentile 为 88.8%；歌词侧相对音频侧更明亮/更正向；歌词侧更激活。综合 descriptor profile 的高权重词包括：calm-positive、gentle warmth、romantic、soft、warm。
region_candidate,2,MT0006137300,How Far Am I from Canaan?,Sam Cooke,1,Gentle Warmth,region_prototype,prototype,True,True,not_checked,0.9985250737463127,0.9154507857318306,2.2748437819459753,C1-T0,modality-consistent,0.4511627906976744,0.4306784660766962,0.914101,1.0,"[{""descriptor"": ""calm-positive"", ""raw_descriptor_score"": 0.914101, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""gentle warmth"", ""raw_descriptor_score"": 0.914101, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""romantic"", ""raw_descriptor_score"": 0.914101, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""soft"", ""raw_descriptor_score"": 0.914101, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""warm"", ""raw_descriptor_score"": 0.914101, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""affective concordance"", ""raw_descriptor_score"": 0.095508, ""display_descriptor_weight"": 0.104483, ""weight"": 0.104483}, {""descriptor"": ""audio-lyric agreement"", ""raw_descriptor_score"": 0.095508, ""display_descriptor_weight"": 0.104483, ""weight"": 0.104483}]","The song is assigned to Gentle Warmth and is highly prototypical, with region typicality 99.9% and assigned-region soft confidence 91.5%; it is clearly separated from the nearest alternative region, C0 Subdued Melancholy (region margin=2.275). The calibrated cross-modal tension / audio-lyric contrast profile is C1-T0 / modality-consistent, with tension strength percentile 43.1%; the sample is modality-consistent and directional deltas do not pass the gate, so it is interpreted as broad audio-lyric agreement. The top descriptor profile is: calm-positive, gentle warmth, romantic, soft, warm.",该歌曲属于 Gentle Warmth 区域，是高度原型样本；region typicality 为 99.9%，其 balanced VA 位置相对该区域原型的 soft confidence 为 91.5%。该样本与最近替代区域 C0 Subdued Melancholy 明显分离（region margin=2.275）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C1-T0 / modality-consistent，tension strength percentile 为 43.1%；该样本标记为 modality-consistent，方向差未达到门控阈值，因此解释为音频与歌词基本一致。综合 descriptor profile 的高权重词包括：calm-positive、gentle warmth、romantic、soft、warm。
region_candidate,3,MT0003044417,Just Because,Paul McCartney,1,Gentle Warmth,region_prototype,prototype,True,True,not_checked,0.9970501474926253,0.9144416412559602,2.2603916813915443,C1-T0,modality-consistent,0.11627906976744184,0.6312684365781711,0.911744,1.0,"[{""descriptor"": ""calm-positive"", ""raw_descriptor_score"": 0.911744, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""gentle warmth"", ""raw_descriptor_score"": 0.911744, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""romantic"", ""raw_descriptor_score"": 0.911744, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""soft"", ""raw_descriptor_score"": 0.911744, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""warm"", ""raw_descriptor_score"": 0.911744, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""affective concordance"", ""raw_descriptor_score"": 0.068618, ""display_descriptor_weight"": 0.07526, ""weight"": 0.07526}, {""descriptor"": ""audio-lyric agreement"", ""raw_descriptor_score"": 0.068618, ""display_descriptor_weight"": 0.07526, ""weight"": 0.07526}]","The song is assigned to Gentle Warmth and is highly prototypical, with region typicality 99.7% and assigned-region soft confidence 91.4%; it is clearly separated from the nearest alternative region, C0 Subdued Melancholy (region margin=2.260). The calibrated cross-modal tension / audio-lyric contrast profile is C1-T0 / modality-consistent, with tension strength percentile 63.1%; the sample is modality-consistent and directional deltas do not pass the gate, so it is interpreted as broad audio-lyric agreement. The top descriptor profile is: calm-positive, gentle warmth, romantic, soft, warm.",该歌曲属于 Gentle Warmth 区域，是高度原型样本；region typicality 为 99.7%，其 balanced VA 位置相对该区域原型的 soft confidence 为 91.4%。该样本与最近替代区域 C0 Subdued Melancholy 明显分离（region margin=2.260）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C1-T0 / modality-consistent，tension strength percentile 为 63.1%；该样本标记为 modality-consistent，方向差未达到门控阈值，因此解释为音频与歌词基本一致。综合 descriptor profile 的高权重词包括：calm-positive、gentle warmth、romantic、soft、warm。
tension_case,1,MT0000638634,Heaven Help,Lenny Kravitz,1,Gentle Warmth,tension_case,representative,True,True,not_checked,0.6209439528023599,0.8656466133946659,1.2690567396093664,C1-T1,lyric-brightened + lyric-intensified,0.5161290322580645,0.9410029498525073,0.537518,1.0,"[{""descriptor"": ""calm-positive"", ""raw_descriptor_score"": 0.537518, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""gentle warmth"", ""raw_descriptor_score"": 0.537518, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""romantic"", ""raw_descriptor_score"": 0.537518, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""soft"", ""raw_descriptor_score"": 0.537518, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""warm"", ""raw_descriptor_score"": 0.537518, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""audio-lyric contrast"", ""raw_descriptor_score"": 0.472443, ""display_descriptor_weight"": 0.878934, ""weight"": 0.878934}, {""descriptor"": ""high cross-modal tension"", ""raw_descriptor_score"": 0.472443, ""display_descriptor_weight"": 0.878934, ""weight"": 0.878934}, {""descriptor"": ""lyric arousal intensification"", ""raw_descriptor_score"": 0.472443, ""display_descriptor_weight"": 0.878934, ""weight"": 0.878934}]","The song is assigned to Gentle Warmth and is representative but not central, with region typicality 62.1% and assigned-region soft confidence 86.6%; it is clearly separated from the nearest alternative region, C3 Playful Vitality (region margin=1.269). The calibrated cross-modal tension / audio-lyric contrast profile is C1-T1 / lyric-brightened + lyric-intensified, with tension strength percentile 94.1%; the lyrics are brighter or more positive than the audio; the lyrics are more activating. The top descriptor profile is: calm-positive, gentle warmth, romantic, soft, warm.",该歌曲属于 Gentle Warmth 区域，是有代表性但并非最中心的样本；region typicality 为 62.1%，其 balanced VA 位置相对该区域原型的 soft confidence 为 86.6%。该样本与最近替代区域 C3 Playful Vitality 明显分离（region margin=1.269）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C1-T1 / lyric-brightened + lyric-intensified，tension strength percentile 为 94.1%；歌词侧相对音频侧更明亮/更正向；歌词侧更激活。综合 descriptor profile 的高权重词包括：calm-positive、gentle warmth、romantic、soft、warm。
tension_case,2,MT0028335228,Love of My Life,Jim Brickman,1,Gentle Warmth,tension_case,peripheral,True,True,not_checked,0.4351032448377581,0.640497848816845,0.4628413195891241,C1-T1,lyric-brightened + lyric-intensified,0.5282258064516129,0.9380530973451328,0.480062,1.0,"[{""descriptor"": ""audio-lyric contrast"", ""raw_descriptor_score"": 0.480062, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""high cross-modal tension"", ""raw_descriptor_score"": 0.480062, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyric arousal intensification"", ""raw_descriptor_score"": 0.480062, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyric valence uplift"", ""raw_descriptor_score"": 0.480062, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyrics brighten the affect"", ""raw_descriptor_score"": 0.480062, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""lyrics intensify the affect"", ""raw_descriptor_score"": 0.480062, ""display_descriptor_weight"": 1.0, ""weight"": 1.0}, {""descriptor"": ""calm-positive"", ""raw_descriptor_score"": 0.278683, ""display_descriptor_weight"": 0.580513, ""weight"": 0.580513}, {""descriptor"": ""gentle warmth"", ""raw_descriptor_score"": 0.278683, ""display_descriptor_weight"": 0.580513, ""weight"": 0.580513}]","The song is assigned to Gentle Warmth and is peripheral within the assigned region, with region typicality 43.5% and assigned-region soft confidence 64.0%; it is moderately close to the nearest alternative region, C0 Subdued Melancholy, while retaining a positive margin (region margin=0.463). The calibrated cross-modal tension / audio-lyric contrast profile is C1-T1 / lyric-brightened + lyric-intensified, with tension strength percentile 93.8%; the lyrics are brighter or more positive than the audio; the lyrics are more activating. The top descriptor profile is: audio-lyric contrast, high cross-modal tension, lyric arousal intensification, lyric valence uplift, lyrics brighten the affect.",该歌曲属于 Gentle Warmth 区域，是所属区域内的外围样本；region typicality 为 43.5%，其 balanced VA 位置相对该区域原型的 soft confidence 为 64.0%。该样本与最近替代区域 C0 Subdued Melancholy 有一定接近性，但仍保留正 margin（region margin=0.463）。其 calibrated cross-modal tension / audio-lyric contrast profile 被标注为 C1-T1 / lyric-brightened + lyric-intensified，tension strength percentile 为 93.8%；歌词侧相对音频侧更明亮/更正向；歌词侧更激活。综合 descriptor profile 的高权重词包括：audio-lyric contrast、high cross-modal tension、lyric arousal intensification、lyric valence uplift、lyrics brighten the affect。
